t,ops,latency
0,203,2354.4729064039407
1000,200,2114.745
2000,200,2079.63
3000,200,2040.065
4000,200,2042.875
5000,200,2048.06
6000,199,2026.8090452261306
7000,0,NaN
8000,0,NaN
9000,155,2589.083870967742
10000,200,2127.935
11000,200,2168.64
12000,200,2097.32
13000,200,2081.17
14000,200,2195.925
15000,200,2120.955
16000,200,2200.185
17000,200,2162.89
18000,200,2227.47
19000,200,2163.695
20000,200,2117.965
21000,200,2005.67
22000,200,2114.135
23000,200,2123.835
24000,200,2054.46
25000,200,2031.975
26000,200,2060.68
27000,200,2103.375
28000,200,1996.405
29000,197,2036.9187817258883
